"subject","model","LL","null_LL","G2","fevals","gevals","niter","convcode"
"101","unyoked",-116.675508194711,-79.6453251470909,74.0603660952397,103,1002,82,0
"102","unyoked",-111.216090682221,-78.5668268643353,65.2985276357722,82,833,65,0
"103","unyoked",-128.430458143662,-78.1647030283921,100.53151023054,88,707,58,0
"104","unyoked",-208.907816014353,-77.8341135340174,262.147404960671,105,711,61,0
"105","unyoked",-105.011006541994,-76.142746682955,57.7365197180779,101,744,68,0
"106","unyoked",-160.128520489151,-78.3727767595183,163.511487459265,88,965,68,0
"107","unyoked",-105.342766101174,-78.8981975110603,52.889137180227,94,799,71,0
"108","unyoked",-218.12811653231,-72.5305650961363,291.195102872348,102,811,71,0
"109","unyoked",-231.17878152906,-67.9348319981746,326.487899061772,88,700,67,0
"110","unyoked",-110.988313089409,-80.8365037971143,60.3036185845895,83,751,65,0
"111","unyoked",-150.993267082276,-78.0014812466138,145.983571671325,86,619,62,0
"112","unyoked",-138.22971993152,-74.9715427099377,126.516354443165,83,721,63,0
"113","unyoked",-200.469948543416,-72.5128314712738,255.914234144285,90,816,72,0
"114","unyoked",-132.425104460815,-80.4381471244958,103.973914672638,92,756,69,0
"101","yoked",-154.291917538645,-79.6453251470909,149.293184783108,105,831,73,0
"102","yoked",-129.498412428964,-78.5668268643353,101.863171129257,75,663,56,0
"103","yoked",-159.642573668878,-78.1647030283921,162.955741280972,78,550,56,0
"104","yoked",-215.558168875587,-77.8341135340174,275.448110683139,82,741,65,0
"105","yoked",-109.209659085027,-76.142746682955,66.1338248041434,94,586,61,0
"106","yoked",-179.410936796127,-78.3727767595183,202.076320073218,74,590,57,0
"107","yoked",-118.059559781166,-78.8981975110603,78.3227245402118,77,518,54,0
"108","yoked",-219.660053637775,-72.5305650961363,294.258977083278,84,489,52,0
"109","yoked",-241.732851279569,-67.9348319981746,347.59603856279,88,703,71,0
"110","yoked",-134.339105366056,-80.8365037971143,107.005203137884,79,476,54,0
"111","yoked",-194.772065578493,-78.0014812466138,233.541168663759,87,643,64,0
"112","yoked",-180.404326291304,-74.9715427099377,210.865567162733,66,586,52,0
"113","yoked",-206.446772587921,-72.5128314712738,267.867882233295,91,624,66,0
"114","yoked",-146.857828471477,-80.4381471244958,132.839362693961,84,662,57,0
"101","yoked_fixed",-164.255758892846,-79.6453251470909,169.220867491511,65,252,28,0
"102","yoked_fixed",-146.120231350752,-78.5668268643353,135.106808972832,32,16,3,1
"103","yoked_fixed",-178.963197243097,-78.1647030283921,201.59698842941,32,17,3,1
"104","yoked_fixed",-226.546523456414,-77.8341135340174,297.424819844794,64,339,44,0
"105","yoked_fixed",-159.294715494716,-76.142746682955,166.303937623522,28,10,2,1
"106","yoked_fixed",-210.026226782479,-78.3727767595183,263.306900045922,38,66,8,0
"107","yoked_fixed",-139.098815601703,-78.8981975110603,120.401236181286,31,10,2,1
"108","yoked_fixed",-228.389350200494,-72.5305650961363,311.717570208716,29,10,2,1
"109","yoked_fixed",-320.950168265419,-67.9348319981746,506.030672534489,31,23,4,1
"110","yoked_fixed",-149.855144193064,-80.8365037971143,138.0372807919,30,15,3,1
"111","yoked_fixed",-240.590173468505,-78.0014812466138,325.177384443783,34,15,3,1
"112","yoked_fixed",-204.255384131021,-74.9715427099377,258.567682842167,33,15,3,1
"113","yoked_fixed",-220.09846329882,-72.5128314712738,295.171263655092,29,10,2,1
"114","yoked_fixed",-185.737496626996,-80.4381471244958,210.598699005,35,34,5,1
