"subject","DN","DO_W","DO_S","GO_Cons","GO_Neut","GO_Lib"
"101",0.37992682406287,0.410549370853201,0.855907983116338,0.16492916702016,0.356960556684823,0.607584672318263
"102",0.271287888183203,0.232757525030058,0.627823285070404,0.353196271154908,0.589657550212836,0.715917483678626
"103",0.415675594154777,0.555633392789991,0.8784250789114,0.19237465651279,0.466143431245826,0.825060480279672
"104",0.682955989988672,0.488171238555986,0.831790055145306,0.137765270284891,0.445368110299716,0.674695622088945
"105",0.136145070913086,0.0577347853770298,0.681946667119206,0.118854342136425,0.822309782332174,0.971535520206266
"106",0.358656110654982,0.50694918987207,0.924264676543521,0.16890693345244,0.320849538506677,0.484409325266118
"107",0.537733523496063,0.360228918830664,0.763509109901152,0.125984585320642,0.488863582977542,0.754578472767065
"108",0.727798711454213,0.779974193176701,0.995008734157223,0.0938167197588188,0.164466213650274,0.510997252571641
"109",0.61239741448264,0.772788671820589,0.978443119833889,0.121915519091377,0.145752207608966,0.317156413478091
"110",0.655345601427071,0.196237470190221,0.843211068892583,0.231270097348546,0.472582420487021,0.573217191833164
"111",0.320129631269624,0.521047003831499,0.902032548060279,0.114780773024356,0.260595061834837,0.602734606791737
"112",0.604667432939826,0.182184897423512,0.862497344932475,0.592123639507152,0.633277842096006,0.696232449531399
"113",0.839479042241507,0.610862624258318,0.988519400739784,0.110059193710982,0.466410046932506,0.500838274040419
"114",0.431363730854936,0.271140491528875,0.625139350146869,0.171779898433288,0.442005345165931,0.804597363865322
