"subject","GO_Cons","GO_Cons.lower","GO_Cons.upper","GO_Lib","GO_Lib.lower","GO_Lib.upper","GO_Neut","GO_Neut.lower","GO_Neut.upper","DN","DN.lower","DN.upper","DO_S","DO_S.lower","DO_S.upper","DO_W","DO_W.lower","DO_W.upper",".width",".point",".interval"
"101",0.18707848339078,0.104252075007408,0.291866133465953,0.626849886112407,0.482353603383055,0.760970200815474,0.398910121610809,0.225518342526011,0.567807115239765,0.414162710071379,0.183485345867696,0.629274088829551,0.843507044043897,0.772035659558683,0.911898694522971,0.372171009185199,0.191246289930854,0.542831665103407,0.95,"mean","hdi"
"102",0.337498152887213,0.238434187292927,0.436556368617387,0.69040958793936,0.576599357378883,0.795516558729471,0.56253182760045,0.442048385847723,0.69168396292491,0.23616661149798,0.0593704588434085,0.395653790977823,0.64721996515146,0.511819996573993,0.768675498175966,0.269472720142119,0.0771663236101602,0.458089973226549,0.95,"mean","hdi"
"103",0.200758215977596,0.121459583900978,0.289262872348877,0.814471770636673,0.700028802080906,0.916927263215942,0.476105366980242,0.319017816429313,0.630211479030494,0.415751317063672,0.248721276083469,0.559691832614724,0.87223392125959,0.799253132858601,0.939169661018307,0.541198420065104,0.382899809557692,0.685539456429473,0.95,"mean","hdi"
"104",0.152630835240282,0.0632705752052242,0.253749341727923,0.670512025279264,0.519036249777292,0.80879326286139,0.451631550953251,0.287439008030393,0.626097602319197,0.678128289378166,0.542536961158861,0.797432528912165,0.825654981136653,0.749364878569843,0.899676305599097,0.474514475310406,0.324426131138352,0.624030507481088,0.95,"mean","hdi"
"105",0.116795909762279,0.0775335159065567,0.153955425728989,0.962642246569747,0.936972661759882,0.986364089254256,0.796411021354319,0.716376501951776,0.87652048114558,0.122576993207194,0.045090944032006,0.201074390314827,0.701584153900583,0.576276271838654,0.817810047878511,0.129939010490616,0.00186583164618648,0.262517687829834,0.95,"mean","hdi"
"106",0.217041145763208,0.107737819411899,0.333870712277187,0.554756224194217,0.385500384539084,0.715994288061549,0.404294877483054,0.228802475397303,0.595217505859492,0.454389760789716,0.207505435171116,0.669814086675857,0.909163093046222,0.854283239453923,0.955408217697653,0.433851067727261,0.248964083763247,0.598197113426335,0.95,"mean","hdi"
"107",0.133802775165996,0.0667664156308755,0.21168433756233,0.745447794351242,0.64473759998191,0.841706480151101,0.48620429160894,0.354107711461171,0.606859651135599,0.531954030627615,0.401420599819886,0.650259341049056,0.762884009191484,0.671834995358763,0.845540013901021,0.360989122468588,0.215881986585016,0.504577830201188,0.95,"mean","hdi"
"108",0.158939119246392,0.036922076490557,0.306677898648264,0.616637519139222,0.390390942983225,0.813239090384309,0.308234839533158,0.0778904534395378,0.565800131667309,0.793889783748468,0.645597140131097,0.911476986768704,0.976509093150058,0.951983614760425,0.997332745565717,0.719732644465529,0.583526101663077,0.83232471615673,0.95,"mean","hdi"
"109",0.272179400409834,0.0651950619874245,0.520421026121208,0.535648698407445,0.274365553403072,0.776391022737065,0.344939854849339,0.102038423637115,0.619675157550517,0.780488653331302,0.588583066763022,0.914434818289572,0.964971640821063,0.930658975405694,0.991661956853739,0.672321150860384,0.488551591419245,0.810525769139505,0.95,"mean","hdi"
"110",0.216128967450671,0.102027661051029,0.328108445013204,0.541978114860951,0.387014873133676,0.681004324042117,0.43746596266565,0.277547627697608,0.598975011455478,0.614141918305063,0.441934013355162,0.762095056461566,0.847637138301746,0.778703597558012,0.909242099477896,0.236383024380355,0.052973138026241,0.41076996092881,0.95,"mean","hdi"
"111",0.138142868434454,0.0737442933877163,0.216020557353062,0.637042839006676,0.48955290068377,0.767303972895399,0.311627842304048,0.177663969303261,0.459029644855984,0.384214640240584,0.150482582859817,0.59913617541232,0.891521535004035,0.839951961843761,0.940942664881332,0.480367054790967,0.348150644297617,0.621233416822752,0.95,"mean","hdi"
"112",0.44506139737099,0.238415573119996,0.636176722679511,0.558325676013142,0.341216603142695,0.754853327130627,0.488234053164234,0.280162670182951,0.68873810771437,0.459168524233408,0.183411841371399,0.66388949631294,0.894233753842689,0.821884506867065,0.956130348876394,0.395784030876186,0.119685471658109,0.630809005975784,0.95,"mean","hdi"
"113",0.14905743012074,0.0256705696025428,0.305458892806564,0.541386747561867,0.32654195290703,0.737887188413599,0.502546729301702,0.234384565121657,0.73114703346216,0.840323784013372,0.72656397512957,0.930909630382261,0.975832997833964,0.950357394707748,0.997103127255165,0.568872837931972,0.401818204311601,0.72655008898928,0.95,"mean","hdi"
"114",0.175605675195673,0.106000028229615,0.250952366678722,0.794478106907429,0.712611471892611,0.871438244814392,0.439224587719375,0.313420961239584,0.561818007943147,0.425436361611602,0.287204137092825,0.560925805475419,0.629519467395581,0.518742193750928,0.736297586476556,0.278270139273643,0.124712864205963,0.424077500245885,0.95,"mean","hdi"
