"subject","DO_L","FD_L","DO_W","FD_W","DO_S","FD_S","GO_Cons","GO_Neut","GO_Lib"
"101",-2.15408930868951,-1.88139344880219,0.331348990748502,-0.299050102125052,2.58551604305886,0.830242490026182,0.509410349219379,-0.57339370044293,-1.07295869776244
"102",-0.843370230562128,-0.705745036226881,0.636964393880255,0.125392270403034,1.85407885526868,0.430107829331874,0.496357362475189,-0.382120281724665,-0.837377834892866
"103",-1.78050013717574,-1.03543507735746,1.89404800744409,1.4202232427463,2.98012385808606,-0.81812381682539,0.662193773963944,-0.176149790939817,-1.07500961197673
"104",-2.89264936009423,-1.53252826878852,1.1379455680851,0.0363971083369761,3.5962063638954,2.15107094947412,0.692713068469251,-0.101988416128691,-0.692956245985444
"105",-1.2569558978996,-0.409723531292833,0.23194339370404,1.47646477049401,3.13712186280218,0.296939539749277,1.12627345530595,-1.15176054888192,-2.73013085134948
"106",-1.74755392504345,-1.1900211764579,0.867329223466113,-1.37597477895606,3.89866471541712,0.961594250061457,0.796526128587731,0.147962287090933,-0.668949447194078
"107",-2.41794105299604,-0.809895817606769,0.990460501667849,0.747806886110761,2.90001565746114,1.57046793715984,0.692852301475989,-0.10909463638491,-0.690887297690162
"108",-3.55182096113828,-3.59998328807487,1.84992042055538,-0.299417207122801,11.0249515806683,-0.416095355922795,0.729922059223346,-0.0812022725697256,-0.837040916058484
"109",-3.09406216184002,-3.96712456110475,1.49949791792148,-3.90400545018603,4.86250759000771,1.90167687672154,0.322929866111953,-0.359363971019205,-0.796909976171924
"110",-2.05903355096861,-1.33563932242804,0.707677973587378,0.305026352417289,2.94746521472071,-0.808933376722659,0.887445424713084,0.195499414294711,-0.125740356383422
"111",-2.19507937534531,-0.970008419214593,0.926717678846039,-0.182968261747401,3.51151876274648,1.15638683971702,0.669238530120447,0.146488850998129,-0.884346040747308
"112",-1.60078316126011,-1.59133554160506,0.770931888977823,0.318351545135712,3.18186117719703,0.188235281416234,-0.166977510184801,-0.318369437389,-0.559417403328714
"113",-3.98231598098729,-2.02216300369221,2.40560949566403,1.64461942679762,5.00394958737938,-14.5455098690807,0.673598847165006,-0.0188795336339714,-0.0645540442516572
"114",-1.34082696824505,-0.37575575362627,1.16480330975941,0.649921813190387,2.69967253598028,1.09954136554908,1.07859161362545,0.303803120997867,-0.68753929441377
