"subject","DO_L","DO_W","DO_S","b","mu.o","mu.n","sigma","nu"
"101",0.18545282472306,0.666736838022272,0.961671443480014,-0.276204819372272,0.439490109798566,0.511519350857663,0.0625949087888615,0.178584705108433
"102",0.508671772227485,0.825962402614308,0.997826920477033,-0.373142081012842,0.502354289544047,0.598829430657184,0.0839632565940021,0.368867428788197
"103",0.319578429228394,0.833821486777702,1,-0.203685187260199,0.450285311994847,0.518836973546475,0.0525496891649157,0.107060775128315
"104",0,0.715326716635148,0.993661168372473,-0.206186494719745,0.485731609095171,0.542868095720013,0.0115436338705318,0.522148401762389
"105",0.748559101063815,0.819277307499311,1,-0.509759012074396,0.356612597221323,0.498881215608644,0.0837295385322127,0.194719342367376
"106",0.130124324527161,0.847713136991364,1,-0.220751717993056,0.462913246776233,0.538489114054631,0.0880333485927815,0.310886328266781
"107",0.0178652304285397,0.643175015547487,1,-0.241559426642788,0.565632950650344,0.631420402744141,0.0727675251655287,0.2553198985823
"108",0,0.904231865855538,1,-0.154796999259723,0.478281392037077,0.495762336887922,0.0418099476859838,0.154843509017092
"109",0.0436060084763674,0.932817402962715,1,-0.0780432243598267,0.467250267771656,0.569560047361783,0.0352279617288978,0.183096217664182
"110",0.337461662576484,0.668155165931695,1,-0.199116557168695,0.467621957796689,0.526703877443857,0.0795128481253241,0.148527190002836
"111",0.198738218145574,0.679744200571066,1,-0.154494245361041,0.478711083418004,0.569154441772806,0.040934147745861,0.12410537685683
"112",0.179502151175213,0.698520906046473,1,-0.324367069485236,0.517857241829526,0.639483661899303,0.0564976787852378,0.264539229441575
"113",0.0135625646762768,0.867082372894872,1,-0.0765726861720693,0.573267838967201,0.609393822680851,0.0400877364712047,0.225719840481243
"114",0.270257359662674,0.662056995613067,1,-0.257183552866878,0.437198849356383,0.534334644414694,0.0886639900109484,0.194956362127106
