"subject","-LL","fevals","gevals","niter","convcode","G2","p"
"101",123.863258013686,103,950,66,0,47.0670214592984,0.0245113964711289
"102",126.764354381614,90,809,60,0,52.6710791077122,0.00644181083989051
"103",127.594065972435,100,821,61,0,60.1313873270287,0.00088753972291387
"104",136.955553247667,648,NA,NA,2,78.8098265925152,0.00000292553328558415
"105",117.169251671033,2944,NA,NA,2,46.7982085282817,0.0260354332126555
"106",168.477694885621,147,1217,87,0,140.157425961768,3.61358142089403e-16
"107",124.176905115099,84,798,60,0,49.7029214912807,0.013312946535006
"108",140.415246227389,97,793,59,0,108.471720874012,0.0000000000815504193275611
"109",114.844677837227,2314,NA,NA,2,60.5679409615106,0.000785422568756808
"110",137.185680116854,78,816,58,0,71.7265084957053,0.0000284019157578097
"111",122.305254231859,94,729,56,0,48.9062830925545,0.0160667867431876
"112",114.727090829605,1821,NA,NA,0,39.5596156432343,0.11367926434595
"113",117.697706196102,3000,NA,NA,1,60.3230100530306,0.000841241855358678
"114",147.959207521486,785,NA,NA,0,92.3591052084176,0.0000000286978390556053
