"subject","d.W","d.S","s","c.C","c.N","c.L","v.L","sv.L","v.W","v.S","sv.T","a","z","t0","st0"
"101",1.40589869634498,3.02482218731219,1.6481677191999,1.29064154017253,0.798119960149689,0.25924412940269,-1.63110250108674,1.36883230036159,0.293337045506524,2.50937181175659,2.25606521045412,0.997982761013411,0.616509452614878,0.341624717991524,0.185285921778589
"102",0.650324985633459,1.13794550007982,0.849495828400005,0.637709315017582,0.217090919664485,0.00464778072187322,-0.283507689934801,1.48128670686636,0.6798100664271,1.40211585247184,1.25834687814736,1.25038814120325,0.606537074007321,0.361036293380381,0.248790907375931
"103",1.85812602451171,2.99996630523582,1.42223910753327,1.23247389546847,0.668652904919152,-0.00333783539180612,-2.26671326757599,1.68963818978205,0.872847424866891,2.80214436980978,2.40306951108975,0.770325505306981,0.671705215696436,0.373212552763838,0.163536977306214
"104",1.84444332963924,3.11255206614356,1.59572043785614,1.67797969711299,1.03218267782135,0.615546648945724,-2.42620538312989,1.8776384658154,0.443794401351717,1.31894235257015,0.942485016389977,2.09689411759998,0.529515873535346,0.415421434973718,0.0126959961166165
"105",0.569316627690815,1.51980068113151,0.919372966134999,1.26462876874632,-0.397052779170465,-1.18432316984038,0.333396483112478,0.942599381259579,0.872017542915608,1.76849988487705,0.869752392427803,0.897215856134077,0.704556544270995,0.244893637962189,0.290053179586168
"106",1.72500841206071,3.38537310128497,1.54035165074261,1.26084081023341,0.870245982031611,0.555688378298397,-1.46540123637063,1.15290217934424,0.523364721281306,2.43760278999418,1.77587477509765,1.30439159245734,0.562523956570901,0.297689371555059,0.266064683745181
"107",1.64411515731317,2.84393501385918,1.56199069813156,1.61448102368008,0.793553002631583,0.313682659337591,-2.07358935753517,1.53090501275581,0.443394778343363,2.2802050111336,2.39125938964755,1.2266516432213,0.573188648063715,0.438218453050859,0.224812374680296
"108",2.51475129748739,4,0.997256421673404,1.89389898119443,1.59925878312418,1.1814995937749,-3.1453293470313,1.87056730819248,1.55868221828323,4.33693988573862,1.86543526026729,1.00318842555048,0.51905304584472,0.389532850368121,0.11804834770956
"109",2.56233960012979,3.99983247080294,1.20580976774783,1.64512896993972,1.55255834751231,1.24916476738044,-3.93552348907088,2.26490822960373,1.81622815114699,4.98832702861853,2.65028795551141,1.48750003124749,0.684333877589,0.416378182274862,0.0856734940694775
"110",1.24994734156745,2.62913648652427,1.13562056743876,1.45375126105298,0.999829417696737,0.828855231608331,-1.70287591185945,1.10291873829523,-0.324285566962401,1.19684798466386,1.25249720342167,0.863748791481243,0.637976050000525,0.334612644107911,0.22032801059476
"111",1.88400170830041,3.98352313657651,2,1.42518403898881,0.975262393703951,0.205770767652546,-2.81638279515038,1.59432490418421,0.187328047918558,3.53464734788754,3.18864980836842,1.00208186153729,0.710782018572774,0.431737935430864,0.101812102801829
"112",1.43501266264254,3.05125312323064,1.30541042889615,0.754490916038336,0.702410520416619,0.612028878085952,-1.32248933708829,1.38755049671702,0.131422537665899,1.02845384174932,0.724628756300747,1.27947647321199,0.634169993884602,0.43435475313453,0.172519581483861
"113",2.39402624194584,3.99692369713268,1.12751120028082,1.99419525329313,1.45433433387455,1.38333886014684,-3.59698299873248,1.83823763620301,0.605232177845014,2.89834516290441,1.16934538160304,1.27994924145296,0.559179938059442,0.481871662322485,0.126845438142575
"114",1.08315676879142,2.09759040307367,1.45195104871079,1.35167124521355,0.721445150567437,-0.11991618191312,-1.45983688929482,1.60028464262052,0.273283922731097,1.89608176272996,2.322238087776,1.08153032203043,0.645986944751857,0.293533518446962,0.268286601393914
